title,place_id,latitude,longitude,rating,reviews,types,type_ids,h3_r6,h3_r8,h3_r10,h3_r12
Noble Burmese Restaurant,ChIJmQQPlS072jARQEFHbmyPUtM,18.8050449,98.9820376,4.7,19.0,"[""Burmese restaurant""]","[""burmese_restaurant""]",866482c6fffffff,886482c687fffff,8a6482c68647fff,8c6482c68643dff
MaHar Restaurant ChiangMai,ChIJI6CKdZIl2jARnWOROHqQKJc,18.7960928,98.98420589999999,5.0,7.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c683fffff,8a6482c68337fff,8c6482c683321ff
Mai Restaurant & Bar,ChIJCWZwRnk72jARkTfPwrp-kpE,18.785303199999998,99.0028071,4.7,65.0,"[""Thai restaurant""]","[""thai_restaurant""]",866482c6fffffff,886482c6c7fffff,8a6482c6c747fff,8c6482c6c7469ff
INDIAN Bites Cafe & Vegetarian and Vegan Restaurant,ChIJDZ59-TEx2jAR29C0SlPO38s,18.7778821,98.9840686,4.9,505.0,"[""Indian restaurant"",""Cafe"",""Indian takeaway"",""Vegetarian restaurant""]","[""indian_restaurant"",""cafe"",""indian_takeaway"",""vegetarian_restaurant""]",866482c6fffffff,886482c6d1fffff,8a6482c6d087fff,8c6482c6d0847ff
Shabushi by OISHI ( Maya),ChIJo03mbwA72jARzKHEx1iK9qQ,18.802468899999997,98.96727849999999,2.6,13.0,"[""Buffet restaurant""]","[""buffet_restaurant""]",866482c6fffffff,886482c695fffff,8a6482c694dffff,8c6482c694d9dff
Guitar Bar & Restaurant,ChIJp2XmoIMx2jARkuI6eF1LOfo,18.7806533,98.9882272,4.3,149.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c6d5fffff,8a6482c6d427fff,8c6482c6d421bff
Number 8 Wooden Restaurant,ChIJcerXzHAw2jAR7Mt0ev0t74Q,18.7752795,98.98165159999999,4.3,58.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c6d1fffff,8a6482c6d00ffff,8c6482c6d00a9ff
Lan Chang Restaurant Chiang Mai,ChIJn689kL072jARTriwLTuH1bo,18.7871237,98.9811436,3.9,11.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c68bfffff,8a6482c6d697fff,8c6482c6d6969ff
Cherry Blossom Bar and Restaurant,ChIJ6xn7iPQ72jARaDcUqb7rLSk,18.7850781,98.99358009999999,3.7,52.0,"[""Restaurant"",""Bar""]","[""restaurant"",""bar""]",866482c6fffffff,886482c689fffff,8a6482c68967fff,8c6482c689663ff
Ning Restaurant - Thai Food,ChIJwTtFZomr_TARBlUh71rU95o,12.5451581,99.9551595,4.7,3.0,"[""Restaurant""]","[""restaurant""]",86658bb47ffffff,88658bb433fffff,8a658bb432d7fff,8c658bb432d43ff
Nava Restaurant,ChIJMatvewCr_TARZzZZG8S9tTk,12.571261999999999,99.95999959999999,5.0,6.0,"[""Thai restaurant""]","[""thai_restaurant""]",86658bb5fffffff,88658bb589fffff,8a658bb5890ffff,8c658bb58956dff
ATCHA Indian restaurant,ChIJW9yBEgmr_TAROrptV4xrf6w,12.5688415,99.91018369999999,4.8,308.0,"[""Indian restaurant""]","[""indian_restaurant""]",86658ba67ffffff,88658ba641fffff,8a658ba6411ffff,8c658ba6411e1ff
Firehouse Bar and Grill,ChIJhUz5uiur_TAR3H7yNdhCLuA,12.554421699999999,99.95486989999999,4.3,96.0,"[""Bar & grill"",""American restaurant"",""Barbecue restaurant""]","[""bar_and_grill"",""american_restaurant"",""barbecue_restaurant""]",86658bb5fffffff,88658bb5ddfffff,8a658bb5d897fff,8c658bb5d8945ff
Beach House Restaurant,ChIJ47B6D7ir_TARtgoduIGyAq0,12.5793895,99.9552169,5.0,4.0,"[""Breakfast restaurant"",""Fast food restaurant""]","[""breakfast_restaurant"",""fast_food_restaurant""]",86658bb5fffffff,88658bb581fffff,8a658bb58157fff,8c658bb581503ff
veggie 11 restaurant cafe,ChIJjWGIKwCr_TARxP1ZCyajZPw,12.5792793,99.94681399999999,4.6,16.0,"[""Vegetarian restaurant""]","[""vegetarian_restaurant""]",86658bb5fffffff,88658bb583fffff,8a658bb58377fff,8c658bb583729ff
At Home Restaurant,ChIJcbNNQACr_TARRY1dqUG3Sw0,12.6014281,99.9495542,4.8,64.0,"[""Thai restaurant""]","[""thai_restaurant""]",86658bb5fffffff,88658bb5bdfffff,8a658bb5bcb7fff,8c658bb5bcb3bff
Restaurant Chiwha,ChIJQXRzSwCr_TARzrhYyZk4WJY,12.5649871,99.9556487,4.5,2.0,"[""Thai restaurant""]","[""thai_restaurant""]",86658bb5fffffff,88658bb5d5fffff,8a658bb5d51ffff,8c658bb5d51b1ff
Grasso Pizzeria by Casa di Laciana al mare,ChIJu8_uZxer_TARKFTxnvdAiFQ,12.555218799999999,99.96127249999999,4.3,158.0,"[""Italian restaurant""]","[""italian_restaurant""]",86658bb5fffffff,88658bb5ddfffff,8a658bb5dd37fff,8c658bb5dd317ff
Esan restaurant local,ChIJuYW0PiKr_TARa-nA0aCYUq0,12.5454692,99.9565258,4.4,9.0,"[""Thai restaurant""]","[""thai_restaurant""]",86658bb47ffffff,88658bb433fffff,8a658bb4328ffff,8c658bb43288dff
Sundance Dayclub Hua Hin,ChIJxYubLlqr_TARejvzISOIo8o,12.597102699999999,99.9549589,4.4,836.0,"[""Beach club"",""Bar"",""Cafe"",""Hotel"",""Swimming pool"",""Thai restaurant"",""Western restaurant""]","[""beach_club"",""bar"",""cafe"",""hotel"",""swimming_pool"",""thai_restaurant"",""western_restaurant""]",86658bb5fffffff,88658bb5abfffff,8a658bb5aa0ffff,8c658bb5aa09bff
